message_timestamp,user_name,topic_name,message_text,channel,thread_ts,topic_description,topic_id,user_id,processed_at
1716368091.923479,Abdurrahman,Production Deployment - Subscription Renewal and Updates,ee,refact-stackedmarketer,1716368091.923479,"Tasks related to the deployment of new features and updates to production, including Expired Subscription Renewal flow, Discounts Page, Homepage Discount section, and Sync Subscription Status to CM.",791b2d0f-9da9-435e-b98c-cc3aea9c0182,U05R8DF8EJE,2025-12-11T20:27:53.967Z
1690995093.926039,Parnia,Sprint Planning and Task Prioritization [August 7th - August 20th],"Yes thank you for your clarification. :pray::skin-tone-2:
I'll get the estimates from the team and plan according to your priorities.",refact-stackedmarketer,,"Discussion and decisions regarding task priorities and time estimates for the sprint period from August 7th to August 20th, including planning for upcoming tasks and resource allocation.",0a03b01b-6c4e-4c4e-966d-c8e9d18e7ea8,U039WK9NWA0,2025-12-11T21:46:11.56Z
1711069562.431129,Naghmeh,Stackedmarketer Website Launch Strategy and Phases,"<@U059AC59LLF>, quick update about the launch (+an ask):

• To facilitate the launch process on Sunday morning, we will begin certain tasks, referred to as the pre-launch phase, on Saturday. These pre-launch activities will not affect the normal operation of the production site. The pre-launch process primarily includes installing plugins such as GravityForms, importing forms, configuring each form, creating Memberpress fields, and double-checking custom keys on CM. 
• Could you please share the Google Sheet you had mentioned you’ll use to list the pages you’ve modified by *Saturday night*?
Thanks!",refact-stackedmarketer,1711069562.431129,"Discussion on the strategy and phased approach for the Stackedmarketer website launch, including options for full launch in April or a two-phased launch starting in mid-March.",4ac5b965-c57f-427f-8a84-2f4e19f836ad,U46P0EG4A,2025-12-11T21:38:48.752Z
1707852557.781739,Manu,Stacked Marketer - Navigation Redesign,That’s fine to keep only in the footer and done with it.,refact-stackedmarketer,,"Discussion and decisions regarding the redesign of the navigation elements for Stacked Marketer, including navbar components and dropdowns.",591f79e8-b0df-41f7-8ce2-d0ded1c34e5f,U059AC59LLF,2025-12-11T21:23:54.79Z
1690995563.031749,Parnia,Stacked Marketer - Email Template Design and Optimization Discussion,Well nice job! :grin:,refact-stackedmarketer,,"Discussion on the design, coding, and optimization of Stacked Marketer email templates, including color management and template flexibility.",72db645f-1896-44a5-bcbd-fdae3597b094,U039WK9NWA0,2025-12-11T21:47:04.024Z
1701736684.215149,Manu,Cloudways Server Scaling and Upgrade Testing,It would be too expensive to upgrade now,refact-stackedmarketer,,"Discussion and testing of scaling up the Cloudways server to 8GB and faster CPU, including potential downsides and backup considerations.",1a66feec-5b9b-4edb-8276-e1d3c6ed08c5,U059AC59LLF,2025-12-11T22:11:01.638Z
1730121052.676229,Manu,Production Deployment - Upcoming Content and User Redirection,We can go ahead and push it to production :+1:,refact-stackedmarketer,,"Tasks ready for production deployment: 1) Upcoming content updates, 2) Redirecting logged-out users from account page to login page. Decision needed on staging check or direct live deployment.",04da0207-2da5-4751-936e-fc151a755b08,U059AC59LLF,2025-12-11T20:42:04.995Z
1709719019.685799,Parnia,Email Template - Outlook Social Share Icons Issue,"<@U059AC59LLF>
Most of email template issues have been fixed.

Please check it out:
<https://litmus.com/folders/unsorted_emails/emails/13251753/checklist>

There are some minor issues with the Outlook client app on Windows where social share icons are being cut off. Is it okay if we push this fix post launch?",refact-stackedmarketer,1709719019.685799,Minor issues with social share icons being cut off in the Outlook client app on Windows. Discussion on whether to push the fix post-launch.,6836dc92-6535-4c93-b469-93f874fb0e50,U039WK9NWA0,2025-12-11T21:32:19.301Z
1761295162.945139,Manu,Rate Limiting Rules Change and Spam Incident,Did someone change our Rate Limiting rules here from Active (block) to Active (log) instead? :confused: Just realized we got tons of spam last night but rate limiter didn’t stop it and noticed it was set to log only instead of blocking,refact-stackedmarketer,1761295162.945139,"Investigation into the change of rate limiting rules from 'Active (block)' to 'Active (log)', resulting in a spam incident. Discussion includes potential causes, impacts, and corrective measures.",af000651-7ccf-4356-9992-1fbb5cbab17e,U059AC59LLF,2025-12-11T21:00:48.687Z
1758726826.863739,Saeedreza,Channel Join Notifications,made this channel *public*. Any member in this workspace can see and join it.,refact-stackedmarketer,,Notifications for users joining the channel.,380cd5de-898e-4e5e-9228-be310e7dfc46,U46M0HK6F,2025-12-11T21:00:38.282Z
1700781667.867989,Parnia,"Sprint Planning - Article and Newsletter Refactor, SM Pro Onboarding and Design","Hi <@U059AC59LLF>
Here is the draft of our next sprint's plan:

• [Dev] Article archive and single article page refactor
• [Dev] Newsletter archive and full newsletter page refactor
• [Design] SM pro Onboarding
• [Design] SM pro Homepage
• [Design] Tactics newsletter signup Landing page
• [Design] PoM newsletter signup Landing page
Please let me know what you think.",refact-stackedmarketer,,"Draft plan for the upcoming sprint focusing on refactoring article and newsletter pages, and designing SM Pro onboarding and homepage.",dd37cfe7-64ad-47b2-8901-066d3407a094,U039WK9NWA0,2025-12-11T22:06:33.007Z
